iteration,spc1_star_boot,percentile_boot
1,4.522822502186828,91.17647058823529
2,14.286401119542974,100.0
3,4.640369643548335,92.15686274509804
4,5.928495432281767,100.0
5,7.0138350150847115,100.0
6,5.525711965095928,96.07843137254902
7,3.956404538455149,61.76470588235294
8,5.326235574799617,96.07843137254902
9,5.688486145390857,96.07843137254902
10,6.2547079502679495,100.0
11,5.91816748475852,99.01960784313727
12,5.166991970548181,96.07843137254902
13,4.596153665995737,92.15686274509804
14,4.596742355542887,92.15686274509804
15,4.90063193263491,94.11764705882352
16,5.095320915740233,96.07843137254902
17,4.041759913634632,61.76470588235294
18,5.497128203596371,96.07843137254902
19,6.032623816484227,100.0
20,3.9626735585406356,61.76470588235294
21,4.682615473116095,93.13725490196079
22,5.363907889354909,96.07843137254902
23,6.428358222708193,100.0
24,5.181044082015528,96.07843137254902
25,4.355312539765869,76.47058823529412
26,5.129517479415122,96.07843137254902
27,4.365449252989283,77.45098039215686
28,5.798898619927143,98.0392156862745
29,4.4437805668390205,90.19607843137256
30,5.18904331718838,96.07843137254902
31,4.174023730803709,67.64705882352942
32,4.558661532725265,91.17647058823529
33,4.631186489651385,92.15686274509804
34,3.9337526595204326,61.76470588235294
35,4.766632384529254,93.13725490196079
36,5.191489642754148,96.07843137254902
37,4.602304234248202,92.15686274509804
38,7.526514696868561,100.0
39,6.258501593280517,100.0
40,4.94647081220481,95.09803921568627
41,6.703659885749763,100.0
42,5.440422982446883,96.07843137254902
43,5.700413960827494,96.07843137254902
44,4.809070509862804,93.13725490196079
45,3.5480206005293193,57.84313725490197
46,4.634825110627963,92.15686274509804
47,4.568081949151631,91.17647058823529
48,4.466504223734876,91.17647058823529
49,4.8480792982998695,93.13725490196079
50,7.58124436720564,100.0
51,4.698171504176352,93.13725490196079
52,4.126160413050915,61.76470588235294
53,4.658153571676562,93.13725490196079
54,5.50894364780805,96.07843137254902
55,4.89489594009335,94.11764705882352
56,5.545572894171644,96.07843137254902
57,4.3969683758148825,79.41176470588235
58,4.856858625690029,93.13725490196079
59,4.745832321503522,93.13725490196079
60,4.312453298042435,76.47058823529412
61,4.563298842366653,91.17647058823529
62,5.404350786080014,96.07843137254902
63,4.5984943210131295,92.15686274509804
64,4.162015337893862,67.64705882352942
65,4.83970833035557,93.13725490196079
66,5.515805066299326,96.07843137254902
67,5.45672060156322,96.07843137254902
68,4.82421855651622,93.13725490196079
69,4.406082564431857,79.41176470588235
70,8.431752437639956,100.0
71,10.494495546679309,100.0
72,7.105440615693091,100.0
73,4.564150899311522,91.17647058823529
74,4.72254006980529,93.13725490196079
75,5.3200489755752765,96.07843137254902
76,6.769442446761358,100.0
77,4.413949158715432,79.41176470588235
78,5.127010593331374,96.07843137254902
79,5.910093618387737,99.01960784313727
80,4.530411718650919,91.17647058823529
81,7.940724965821933,100.0
82,4.926547130408798,95.09803921568627
83,4.612140405863457,92.15686274509804
84,4.270907252833432,74.50980392156863
85,4.910406451454772,95.09803921568627
86,6.848284014055522,100.0
87,4.706616550443258,93.13725490196079
88,4.484643676516472,91.17647058823529
89,4.657874117374629,93.13725490196079
90,5.75547334052649,98.0392156862745
91,4.8930912150726975,94.11764705882352
92,6.571986405595036,100.0
93,4.394001392018741,79.41176470588235
94,4.416050125508167,90.19607843137256
95,6.05918162786216,100.0
96,7.059465646608149,100.0
97,5.216384135443702,96.07843137254902
98,4.24060510800301,71.56862745098039
99,5.468080808484303,96.07843137254902
100,6.57152597135261,100.0
101,5.115787757967362,96.07843137254902
102,7.8585412525462734,100.0
103,4.43243257485838,90.19607843137256
104,14.220117982815838,100.0
105,4.390116753584993,79.41176470588235
106,4.501025896617425,91.17647058823529
107,4.328575465484608,76.47058823529412
108,4.7284430536983,93.13725490196079
109,4.0763213936527665,61.76470588235294
110,4.216112887629111,71.56862745098039
111,5.031075804219197,96.07843137254902
112,5.629338864732237,96.07843137254902
113,6.590755946546024,100.0
114,5.600994209143129,96.07843137254902
115,5.0175336730645075,96.07843137254902
116,6.212339551564573,100.0
117,4.330242892499958,76.47058823529412
118,4.794864632799629,93.13725490196079
119,5.0008611262867815,96.07843137254902
120,5.141119755882131,96.07843137254902
121,4.162259882566873,67.64705882352942
122,5.736705997674462,96.07843137254902
123,3.7512754294130204,58.82352941176471
124,5.056441158155322,96.07843137254902
125,11.06188912014476,100.0
126,4.6694097381638295,93.13725490196079
127,8.651040978814642,100.0
128,4.820023182802674,93.13725490196079
129,3.8190400997913185,60.78431372549019
130,4.556822391681471,91.17647058823529
131,5.0091130304101785,96.07843137254902
132,5.109530443992541,96.07843137254902
133,5.332907894700963,96.07843137254902
134,5.884897391777331,98.0392156862745
135,6.907348089081789,100.0
136,4.603326979085455,92.15686274509804
137,4.415865072629399,90.19607843137256
138,5.948590970963636,100.0
139,5.710834366619692,96.07843137254902
140,5.015440752727356,96.07843137254902
141,4.292438121725835,74.50980392156863
142,4.472456633678614,91.17647058823529
143,3.982971422593067,61.76470588235294
144,5.871060870162121,98.0392156862745
145,6.708470157040971,100.0
146,5.33177525663938,96.07843137254902
147,4.5612727692006985,91.17647058823529
148,5.586226384898107,96.07843137254902
149,4.115850453421721,61.76470588235294
150,4.713353610596802,93.13725490196079
151,6.0544239819820636,100.0
152,4.439477131290693,90.19607843137256
153,5.80102799675486,98.0392156862745
154,6.331695066006078,100.0
155,5.28722597583391,96.07843137254902
156,5.320899642232438,96.07843137254902
157,5.295664155984711,96.07843137254902
158,4.733234968264834,93.13725490196079
159,6.252436843054516,100.0
160,5.360849294352348,96.07843137254902
161,5.467259732990378,96.07843137254902
162,3.984536447353084,61.76470588235294
163,4.398252672744484,79.41176470588235
164,5.872557495915612,98.0392156862745
165,7.515004988992523,100.0
